district,slope,rainfall,risk_level
Wayanad,34.11,437.95,High
Malappuram,37.54,466.61,High
Idukki,14.87,334.29,Low
Kottayam,40.96,357.35,High
Pathanamthitta,27.2,142.85,Low
Kozhikode,6.69,229.73,Low
Kasaragod,12.89,314.42,Low
Kottayam,22.05,257.49,Moderate
Pathanamthitta,16.75,72.14,Low
Palakkad,40.94,143.98,Low
Thiruvananthapuram,28.25,392.89,Moderate
Idukki,40.7,160.42,Moderate
Kasaragod,6.41,176.91,Low
Kasaragod,5.79,142.92,Low
Kozhikode,30.76,158.89,Moderate
Ernakulam,18.13,487.81,Low
Kozhikode,18.79,489.84,Low
Pathanamthitta,27.69,84.43,Low
Kottayam,9.87,319.29,Low
Kottayam,10.96,312.43,Low
Wayanad,9.57,80.49,Low
Alappuzha,28.49,154.12,Moderate
Idukki,9.79,498.45,Low
Pathanamthitta,28.67,203.85,Moderate
Kasaragod,33.88,239.37,Moderate
Thrissur,25.06,352.49,Moderate
Thrissur,44.73,318.76,High
Kannur,15.11,485.42,Low
Wayanad,41.09,327.59,High
Alappuzha,19.3,189.87,Low
Ernakulam,18.19,100.44,Low
Kasaragod,10.92,315.44,Low
Idukki,13.52,92.32,Low
Palakkad,30.05,91.86,Low
Malappuram,15.47,382.81,Low
Kottayam,18.99,190.82,Low
Kozhikode,15.24,156.23,Low
Alappuzha,30.25,69.01,Low
Palakkad,8.41,449.35,Low
Kannur,26.64,287.3,Moderate
Wayanad,30.15,66.77,Low
Malappuram,22.59,134.26,Low
Pathanamthitta,14.4,293.06,Low
Thrissur,41.33,164.99,Moderate
Kottayam,29.88,271.63,Moderate
Kottayam,6.12,438.57,Low
Palakkad,40.08,183.74,Moderate
Thiruvananthapuram,26.04,102.19,Low
Kasaragod,11.73,368.45,Low
Malappuram,31.84,144.42,Low
Thiruvananthapuram,17.39,469.07,Low
Kannur,17.22,255.37,Low
Kottayam,7.36,226.57,Low
Kollam,43.34,374.7,High
Kasaragod,41.64,326.34,High
Thrissur,10.2,172.39,Low
Kannur,26.63,163.32,Moderate
Pathanamthitta,32.26,490.68,High
Palakkad,24.41,426.89,Moderate
Wayanad,17.32,441.35,Low
Kottayam,9.91,466.73,Low
Malappuram,8.34,234.71,Low
Alappuzha,23.28,349.39,Moderate
Palakkad,39.06,450.7,High
Ernakulam,24.92,165.03,Moderate
Kottayam,21.03,181.83,Moderate
Kollam,35.32,486.07,High
Kozhikode,41.79,125.99,Low
Ernakulam,13.64,360.93,Low
Pathanamthitta,40.65,403.99,High
Malappuram,21.42,433.82,Moderate
Palakkad,14.74,67.53,Low
Kasaragod,42.2,325.22,High
Kollam,37.81,433.53,High
Alappuzha,35.36,200.83,Moderate
Kozhikode,35.97,452.38,High
Alappuzha,35.35,268.16,Moderate
Kottayam,13.7,264.69,Low
Kannur,28.92,358.94,Moderate
Wayanad,38.15,302.2,High
Malappuram,5.32,118.18,Low
Pathanamthitta,14.83,138.0,Low
Pathanamthitta,20.97,178.01,Moderate
Kottayam,12.7,50.88,Low
Ernakulam,22.67,176.81,Moderate
Idukki,13.33,75.98,Low
Pathanamthitta,41.41,432.12,High
