rain_1d,rain_3d,rain_5d,rain_7d,rain_10d,rain_15d,rain_30d,rain_60d,rain_90d,rain_event_day,rain_3d_ratio,rain_15d_ratio,lat,lon,date,landslide,trigger,size
3.7,17.9,38.7,56.30000000000001,75.80000000000001,120.49999999999999,156.69999999999996,194.09999999999997,260.9,3.7,1.542231638418079,2.076412429378531,11.34165808,76.8694278,2017-06-01,1,rain,small
2.0,5.9,16.5,22.6,35.699999999999996,83.39999999999999,206.20000000000002,472.9,931.9000000000001,2.0,0.4258163748225272,1.2038334122101275,11.34165808,76.8694278,2013-09-01,0,,
2.8,14.100000000000001,33.0,39.9,45.8,49.9,75.29999999999998,75.8,78.49999999999999,2.8,1.4148708669189014,1.0014476065142293,11.34165808,76.8694278,2016-06-03,0,,
0.0,0.2,0.2,1.6,27.5,29.400000000000002,57.00000000000001,310.40000000000003,627.5,0.0,0.017571654904220076,0.5166066541840704,11.34165808,76.8694278,2016-10-06,0,,
4.3,12.1,19.200000000000003,21.6,66.89999999999999,122.39999999999998,208.10000000000002,513.0,1065.4,4.3,0.8328349788434414,1.6849421720733422,11.34165808,76.8694278,2013-08-27,0,,
96.3,302.9,362.90000000000003,406.09999999999997,475.90000000000003,551.5,579.0,666.3,676.8,96.3,16.432675204553536,5.983902525791533,12.89674168,74.85970453,2017-06-12,1,rain,small
7.4,44.6,63.9,95.89999999999999,164.8,227.8,289.59999999999997,795.7,1336.7,7.4,2.2441639858120928,2.292468860843026,12.89674168,74.85970453,2013-09-19,0,,
9.2,39.8,147.29999999999998,205.4,277.1,315.70000000000005,395.00000000000006,631.6,705.7,9.2,2.006280472688207,3.182827865465664,12.89674168,74.85970453,2015-06-16,0,,
7.4,19.700000000000003,22.0,31.299999999999997,39.699999999999996,109.39999999999999,110.1,116.8,117.80000000000001,7.4,1.276706507304117,1.4179867197875164,12.89674168,74.85970453,2016-05-26,0,,
4.2,27.4,98.20000000000002,141.0,270.09999999999997,455.9,727.5000000000001,921.2000000000002,927.9000000000001,4.2,1.5606704327933143,5.19350109715673,12.89674168,74.85970453,2016-07-02,0,,
11.3,45.8,115.7,167.3,216.10000000000002,264.5,434.80000000000007,551.7,734.5999999999999,11.3,3.5949301936563076,4.152222865598661,8.558668245,76.89785918,2017-06-05,1,construction,medium
14.9,45.0,120.69999999999999,142.8,241.8,318.3,422.2,640.4999999999999,780.5999999999999,14.9,2.1573404589751646,3.0519176359635334,8.558668245,76.89785918,2015-05-21,0,,
5.0,37.0,37.0,37.0,42.5,108.10000000000001,150.5,405.5,600.2,5.0,1.9818237695921326,1.1580278350968085,8.558668245,76.89785918,2013-11-01,0,,
0.5,0.8,6.0,6.9,8.8,24.500000000000004,62.1,136.5,307.6,0.5,0.04947784649700903,0.3030518097941803,8.558668245,76.89785918,2016-09-12,0,,
1.2,5.7,15.799999999999999,54.6,86.60000000000001,174.99999999999997,245.4,420.1,463.90000000000003,1.2,0.27532961159282576,1.6906204220612104,8.558668245,76.89785918,2015-05-02,0,,
47.7,90.0,106.10000000000001,124.4,159.8,326.2,724.4999999999999,793.3,925.2,47.7,3.0780444045750164,2.2312401883830453,12.6771,75.2565,2011-06-27,1,rain,medium
0.0,0.0,0.6,0.6,0.6,0.6,323.3,453.8,775.5,0.0,0.0,0.0049317837291561395,12.6771,75.2565,2008-11-14,0,,
1.5,9.2,50.0,148.6,302.5,403.2,913.4000000000001,1099.3,1243.2,1.5,0.35408057036499574,3.1035931732862236,12.6771,75.2565,2010-07-10,0,,
18.4,66.1,96.80000000000001,108.1,140.79999999999998,314.9,600.2,1452.4000000000003,2323.1,18.4,2.3301548774849743,2.2201687471104945,12.6771,75.2565,2010-09-09,0,,
27.6,49.1,58.400000000000006,88.9,166.4,438.40000000000003,1052.4,1524.1999999999998,1687.8,27.6,1.8155422197975393,3.24209250166697,12.6771,75.2565,2009-07-28,0,,
6.1,36.8,37.199999999999996,42.9,46.1,101.80000000000001,188.99999999999997,337.3,524.7,6.1,1.9901591382596744,1.1010771754067112,8.4557,77.009,2013-11-13,1,downpour,medium
9.8,47.5,77.0,92.39999999999999,99.5,143.6,166.9,510.5000000000001,639.8,9.8,2.525274533728429,1.5268607286037996,8.4557,77.009,2011-07-18,0,,
9.5,21.5,32.2,39.3,54.599999999999994,125.39999999999999,202.10000000000002,467.79999999999995,602.5,9.5,1.1378622245358319,1.3273295158771474,8.4557,77.009,2011-07-29,0,,
0.2,0.2,0.30000000000000004,52.00000000000001,87.00000000000001,111.49999999999999,265.79999999999995,449.8,947.6000000000001,0.2,0.009454799085519433,1.0542100980354165,8.4557,77.009,2010-09-04,0,,
12.0,35.8,37.8,47.5,60.599999999999994,61.7,104.6,248.10000000000002,330.5,12.0,2.801898896587118,0.9657942006671798,8.4557,77.009,2013-05-02,0,,
77.0,106.5,165.3,193.6,210.39999999999998,236.6,327.9,612.7,741.4000000000001,77.0,3.6017630426345844,1.6003326495536951,9.6326,76.9792,2011-06-01,1,downpour,medium
29.4,55.7,73.0,127.5,184.6,255.7,536.9,1125.7,1303.4,29.4,2.235696660634973,2.0526665569995064,9.6326,76.9792,2007-07-25,0,,
11.8,34.2,66.6,106.2,156.20000000000002,227.60000000000002,337.29999999999995,776.6,1143.5,11.8,1.1996549741230593,1.5967337550316276,9.6326,76.9792,2010-10-05,0,,
15.7,19.4,62.0,147.29999999999998,194.89999999999998,219.0,326.2,949.9000000000001,1494.8999999999999,15.7,0.6450804033796674,1.4564186426819294,9.6326,76.9792,2010-08-21,0,,
6.9,29.6,45.199999999999996,61.4,88.9,133.79999999999998,255.39999999999998,421.1,755.8,6.9,0.9939720899507306,0.8986044975365388,9.6326,76.9792,2008-06-02,0,,
